No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
85,AAPL,2861.51B,31.98,29.14,2.04,7.82,46.81,45.68,36.46,71.40%,7.22%,22.00%,15.68%,11.10%,179.30,2.85%,"126,481,083"
86,ADI,96.43B,48.71,23.78,3.30,13.18,2.28,48.75,75.21,5.60%,17.58%,4.70%,14.78%,16.40%,179.53,1.84%,"3,520,368"
87,CDNS,49.75B,74.27,51.73,4.08,16.72,19.13,49.07,52.95,-40.10%,13.37%,21.20%,18.20%,9.50%,184.27,4.66%,"1,779,420"
88,QCOM,210.13B,24.04,16.29,0.94,6.26,21.46,16.93,37.26,74.00%,8.39%,15.60%,25.62%,7.30%,189.28,4.01%,"10,929,961"
89,PYPL,227.86B,45.91,36.11,2.25,9.27,10.13,17.14,46.47,71.00%,14.53%,28.80%,20.43%,18.30%,190.66,2.07%,"10,961,319"
90,CDW,26.06B,27.01,22.34,2.06,1.29,31.50,106.31,29.02,9.20%,9.95%,18.30%,13.10%,7.30%,192.15,1.30%,"943,015"
91,TXN,176.28B,24.83,23.53,2.48,10.02,14.70,18.02,52.29,14.00%,3.64%,16.20%,10.00%,2.20%,193.44,1.67%,"6,250,132"
92,TROW,44.25B,14.60,14.40,0.92,5.95,5.32,12.94,37.16,14.70%,5.64%,16.60%,15.80%,8.10%,193.69,1.93%,"1,141,004"
93,JBHT,20.86B,31.50,24.36,1.37,1.83,7.15,39.38,67.54,-0.60%,19.47%,5.30%,23.00%,9.30%,198.60,1.02%,"390,316"
94,NDAQ,33.51B,29.41,26.45,2.05,5.70,5.34,68.68,54.06,20.60%,4.02%,17.50%,14.35%,10.60%,202.03,1.15%,"802,104"
95,ENPH,27.70B,178.20,67.72,4.10,22.44,42.42,19.87,95.15,-22.90%,31.34%,31.30%,43.50%,16.70%,204.04,0.85%,"2,716,378"
96,HON,142.19B,26.98,23.23,2.31,4.11,8.12,11.72,54.04,-16.30%,11.94%,2.20%,11.68%,-3.30%,209.76,1.49%,"2,907,658"
